County,Office,Candidate,Party,District,Votes
,School Board Member,John Schutte,Non Partisan,MADISON,4289
,School Board Member,John W Hughes,Non Partisan,CARR SCHOOL CORP,292
,School Board Member,Johnny Budd,Non Partisan,JAC-CEN-DEL,412
,School Board Member,Joie BukowskI,Non Partisan,Scott County Schools 1,942
,School Board Member,Jon H Bobbitt,Non Partisan,Southwest Schools,2049
,School Board Member,Jon S Menke,Non Partisan,SOUTHWEST SCHOOL DISTRICT,2958
,School Board Member,Jonathan C Eller,Non Partisan,Howard,2860
,School Board Member,Jonathan D (JON) Madison,Non Partisan,BLUE RIVER VALLEY SCHOOL,1363
,School Board Member,JONATHAN HELT,Non Partisan,SOUTH VERMILLION,1865
,School Board Member,Jonathan T Underwood,Non Partisan,Howard,2872
,School Board Member,Jonathan W Gutwein,Non Partisan,WEST CENTRAL,1232
,School Board Member,Jonathon D Simpson,Non Partisan,SOUTHWESTERN,2428
,School Board Member,Jordan J Buckley,Non Partisan,Howard,2558
,School Board Member,Jordan K Black,Non Partisan,NORTH HARRISON,2104
,School Board Member,Jose Dominguez,Non Partisan,"FORT WAYNE COMMUNITY 1, FORT WAYNE COMMUNITY 2, FORT WAYNE COMMUNITY 3, FORT WAYNE COMMUNITY 4, FORT WAYNE COMMUNITY 5",4426
,School Board Member,Joseph D (Joe) Saggars,Non Partisan,WEST NOBLE,2183
,School Board Member,Joseph E Collins,Non Partisan,SMITH-GREEN,1210
,School Board Member,Joseph E. Rutledge,Non Partisan,MT. VERNON,4180
,School Board Member,Joseph H Bellman,Non Partisan,Eastern Greene School District,792
,School Board Member,Joseph L Hufford,Non Partisan,ROSSVILLE,1918
,School Board Member,Joseph L Mann,Non Partisan,Cloverdale,1863
,School Board Member,Joseph T Kaelin,Non Partisan,SALEM,1145
,School Board Member,Joshua A Davison,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1290
,School Board Member,Joshua C Newbauer,Non Partisan,DEKALB CENTRAL,4209
,School Board Member,Joshua G Orem,Non Partisan,NORTH POSEY,1194
,School Board Member,JOSHUA J. FOXWORTHY,Non Partisan,SOUTHEAST FOUNTAIN S. C.,2099
,School Board Member,Joshua R Deck,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2368
,School Board Member,JOYANN TORREZ,Non Partisan,Griffith,1764
,School Board Member,Joyce A Geis,Non Partisan,Decatur County,3978
,School Board Member,Juanita Martin,Non Partisan,Mitchell Community Schools,183
,School Board Member,Judith Jefferis Shore,Non Partisan,Franklin Township Schools,9334
,School Board Member,JUDY C DUNLAP,Non Partisan,Merrillville,12254
,School Board Member,Julia Cummings,Non Partisan,Tippecanoe School Corporation,26691
,School Board Member,Julie A. French,Non Partisan,Warren Township Schools,7450
,School Board Member,Julie J Hess,Non Partisan,S. MONTGOMERY SCHOOL CORP,3441
,School Board Member,Julie Phillips,Non Partisan,BAUGO COMMUNITY SCHOOL,1419
,School Board Member,Julie R Blaase,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,1689
,School Board Member,Justin  Cox,Non Partisan,SOUTH HENRY SCHOOL,1562
,School Board Member,Justin C Moore,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,460
,School Board Member,Justin Kloer,Non Partisan,CLARK PLEASANT SCHOOL CORP,4937
,School Board Member,Justin Wininger,Non Partisan,SPRINGS VALLEY SCHOOL CORPORATION,1324
,School Board Member,Kami Wait,Non Partisan,CONCORD COMMUNITY SCHOOL,6603
,School Board Member,Kara Hand,Non Partisan,EAST NOBLE,1851
,School Board Member,Karen B Sosbe,Non Partisan,Howard,10279
,School Board Member,Karen E Curtis,Non Partisan,Lake Station,482
,School Board Member,Karen E Sheller,Non Partisan,Crawford County,2001
,School Board Member,Karen J Robbins,Non Partisan,Hobart,3603
,School Board Member,Karen L Ragland,Non Partisan,Vanderburgh,44292
,School Board Member,Karen Lee,Non Partisan,Culver Community School Corp,1336
,School Board Member,Karen N Jedrysek,Non Partisan,MSD OF NEW DURHAM TOWNSHIP,1603
,School Board Member,Karen S. Burke,Non Partisan,Wayne Township Schools,10069
,School Board Member,Karen Schuldt,Non Partisan,Franklin Township Schools,5572
,School Board Member,Karen Sutton,Non Partisan,"PRECINCT 01, PRECINCT 02, PRECINCT 03, PRECINCT 04, PRECINCT 05, PRECINCT 06, PRECINCT 07, PRECINCT 08, PRECINCT 09, PRECINCT 10, PRECINCT 11, PRECINCT 12, PRECINCT 13, PRECINCT 14, PRECINCT 15, PRECINCT 16, PRECINCT 17, PRECINCT 18, PRECINCT 19, PRE",514
,School Board Member,Karin K Odle,Non Partisan,N. MONTGOMERY SCHOOL CORP,4177
,School Board Member,Karla D Vincent,Non Partisan,LaPorte,4035
,School Board Member,Karla S Scott-Raab,Non Partisan,SOUTH DEARBORN COMM.,2728
,School Board Member,Karla Smith,Non Partisan,"VINCENNES CITY 01, VINCENNES CITY 02, VINCENNES CITY 03, VINCENNES CITY 04, VINCENNES CITY 05, VINCENNES CITY 06, VINCENNES CITY 07, VINCENNES CITY 08, VINCENNES TOWNSHIP 1, VINCENNES TOWNSHIP 2, VINCENNES TOWNSHIP 3, VINCENNES TOWNSHIP 4",4760
,School Board Member,Kate A Hammelman,Non Partisan,North Knox Schools,2748
,School Board Member,Kate Hummel,Non Partisan,MCS C,4139
,School Board Member,Katherine (Katie) Aeschliman,Non Partisan,"ZCS Eagle, ZCS Union",13474
,School Board Member,Katherine M Sampson,Non Partisan,KANKAKEE VALLEY,4485
,School Board Member,Kathleen (Kathy) Padgett,Non Partisan,2,452
,School Board Member,Kathleen Dowling,Non Partisan,GREENFIELD CENTRAL,10025
,School Board Member,Kathryn Marie Kintner,Non Partisan,MACONAQUAH,1971
,School Board Member,Kathy Crawford,Non Partisan,N. MONTGOMERY SCHOOL CORP,1485
,School Board Member,Katie (Hutch) Hutchinson,Non Partisan,Greater Clark County Schools,21360
,School Board Member,Katie Browning,Non Partisan,CARMEL-CLAY,18017
,School Board Member,Katie Chamness,Non Partisan,PLAINFIELD COMM SCHOOLS,7337
,School Board Member,Katie M Collier,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2489
,School Board Member,Katie Miller,Non Partisan,ROCHESTER SCHOOL CORPORATION,2557
,School Board Member,Katrina Lewis,Non Partisan,Cloverdale,1854
,School Board Member,Kay L Walton,Non Partisan,Lafayette School Corporation District 5,1692
,School Board Member,Keith A Webster,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,1083
,School Board Member,Keith Freeman,Non Partisan,Greater Clark County Schools,13062
,School Board Member,Keith Goodman,Non Partisan,GCS 4,1139
,School Board Member,Keith K Klein,Non Partisan,Monroe County Comm School Corp,28685
,School Board Member,KEITH M. JACKS,Non Partisan,SOUTH VERMILLION,1478
,School Board Member,Kelli J Gentrup-Pettit,Non Partisan,SOUTH DEARBORN COMM.,4636
,School Board Member,KELLI L. HILL,Non Partisan,SOUTH VERMILLION,2595
,School Board Member,Kellie J Kelley,Non Partisan,Madison,6076
,School Board Member,Kelly J. Garland,Non Partisan,WASHINGTON,2256
,School Board Member,Kelly L. Foulk,Non Partisan,Franklin Township Schools,9415
,School Board Member,Ken Browning,Non Partisan,SEYMOUR SCHOOL CORP,7544
,School Board Member,Ken Mertz,Non Partisan,Perry Township Schools,12784
,School Board Member,Kendra McKnight,Non Partisan,IPS,14427
,School Board Member,Kenneth "Ken" Hackney,Non Partisan,North Lawrence Community Schools,2676
,School Board Member,Kenneth Allen,Non Partisan,IPS,34551
,School Board Member,Kenneth Dale McMichael,Non Partisan,Scott County Schools 2,1491
,School Board Member,Kenneth E Hodson,Non Partisan,Madison,10571
,School Board Member,KENNETH L POLSTON,Non Partisan,NORTHWESTERN SCHOOLS,1608
,School Board Member,Kenneth W Buckley,Non Partisan,Lake Ridge,1418
,School Board Member,Kenneth W Snyder,Non Partisan,CANNELTON,124
,School Board Member,Kenny Key,Non Partisan,WASHINGTON,373
,School Board Member,Kent H Somers,Non Partisan,"NORTHWEST ALLEN 1, NORTHWEST ALLEN 2, NORTHWEST ALLEN 3",15915
,School Board Member,Kent W Ulrey,Non Partisan,MCS,560
,School Board Member,Kerry W Ingle,Non Partisan,MORGAN,4569
,School Board Member,Kevin Bowman,Non Partisan,MSD,4119
,School Board Member,Kevin Etienne,Non Partisan,Perry Central,2073
,School Board Member,Kevin J. Cavanaugh,Non Partisan,JACKSON,4368
,School Board Member,Kevin K Kumpf,Non Partisan,Clay Community,1295
,School Board Member,Kevin L Paul,Non Partisan,Greater Clark County Schools,20198
,School Board Member,Kevin M Gideon,Non Partisan,UNION SCHOOL,745
,School Board Member,Kevin Nemyer,Non Partisan,LIBERTY,1634
,School Board Member,Kevin P Puckett,Non Partisan,Borden-Henryville School,2816
,School Board Member,Kevin Poorman,Non Partisan,BROWNSBURG COMM SCHOOLS,4800
,School Board Member,Kevin R Arnett,Non Partisan,Southwest Schools,2236
,School Board Member,Kevin R Boyer,Non Partisan,TRITON SCHOOL CORPORATION,1755
,School Board Member,KEVIN YARGER,Non Partisan,Huntington,1472
,School Board Member,Khrisma A Mcmurray,Non Partisan,Warren Township Schools,4610
,School Board Member,Kim A Williamson,Non Partisan,NEW CASTLE COMM SCHOOL,3444
,School Board Member,Kim Brandt,Non Partisan,"NA SCHOOL BOARD DIST 1, NA SCHOOL BOARD DIST 2",1362
,School Board Member,Kim Woodward,Non Partisan,AVON COMM SCHOOLS,9753
,School Board Member,KIMBERLY ANN COOPER,Non Partisan,"District 1, District 2, District 3, District 4, District 5, District 6",2909
,School Board Member,Kimberly Buckley  ,Non Partisan,Beech Grove Schools,2676
,School Board Member,Kimra A Schleicher,Non Partisan,Borden-Henryville School,2344
,School Board Member,Kip A Corn,Non Partisan,SALEM,1200
,School Board Member,Kirk A Long,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",730
,School Board Member,Krista J Halbrader,Non Partisan,Pike County School Corp,2414
,School Board Member,Kristine Ott,Non Partisan,FRANKLIN COMM SCHOOL CORP,7566
,School Board Member,Kristy Anderson,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,862
,School Board Member,Kurt A Christiansen,Non Partisan,Plymouth Community School Corp,2915
,School Board Member,Kyle A Litwiller,Non Partisan,SOUTH ADAMS,1409
,School Board Member,Kyle Blaydes,Non Partisan,S. MONTGOMERY SCHOOL CORP,3287
,School Board Member,Kyle C Rule,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1910
,School Board Member,Kyle Cornelius,Non Partisan,WASHINGTON,3208
,School Board Member,KYLE MITSCH,Non Partisan,TriCreek,525
,School Board Member,Kyle R Johnson,Non Partisan,EASTERN PULASKI,1104
,School Board Member,Kyle R Rensberger,Non Partisan,ROCHESTER SCHOOL CORPORATION,2395
,School Board Member,Kyle S. Seibert,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,620
,School Board Member,Kyleen R Fuller,Non Partisan,LaPorte,4878
,School Board Member,L. Renae Azziz,Non Partisan,Warren Township Schools,7024
,School Board Member,Lacretia Ulery,Non Partisan,Bartholomew Consolidated,8336
,School Board Member,LANA  J STALBAUM OLSON,Non Partisan,KANKAKEE VALLEY,3507
,School Board Member,Lance L Miller,Non Partisan,Brown,1800
,School Board Member,Larry A. Kahle,Non Partisan,NORTH POSEY,1807
,School Board Member,Larry Arnold,Non Partisan,North Lawrence Community Schools,3220
,School Board Member,Larry D Purlee,Non Partisan,ORLEANS SCHOOL CORPORATION,783
,School Board Member,Larry Hauswald,Non Partisan,SOUTH HARRISON,7017
,School Board Member,Larry J. Metzler,Non Partisan,Pike Township Schools,8432
,School Board Member,Larry K Oliver II,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,973
,School Board Member,Larry L Beach,Non Partisan,EASTERN PULASKI,1286
,School Board Member,Larry R Biggs,Non Partisan,Lake Station,1426
,School Board Member,Larry Taylor,Non Partisan,Decatur Township Schools,5806
,School Board Member,Lashauna R. Triplett,Non Partisan,Warren Township Schools,7981
,School Board Member,Laura  Haeberle,Non Partisan,SOUTHERN HANCOCK,6399
,School Board Member,Laura L Alerding,Non Partisan,NOBLESVILLE,8605
,School Board Member,LAURA MCLATCHER,Non Partisan,FREMONT SCHOOL DISTRICT,2733
,School Board Member,Lawrence J "LARRY" Demoss,Non Partisan,Richland-Bean Blossom Comm School Corp,4709
,School Board Member,Leah A Myers,Non Partisan,Vigo,11814
,School Board Member,LEANN BOOTS,Non Partisan,MSD SCHOOL DISTRICT,4614
,School Board Member,Lee Anne Hahn,Non Partisan,Scott County Schools 2,1835
,School Board Member,Lee H NagaI,Non Partisan,"DAVIS, OREGON 1, OREGON 2, OREGON 3",1102
,School Board Member,Lee James Wilson Jr.,Non Partisan,EAST ALLEN,1672
,School Board Member,Lee M(Matt) Higginbotham,Non Partisan,TIPTON COMMUNITY,1829
,School Board Member,Leigh Hamer,Non Partisan,NOBLESVILLE,5183
,School Board Member,Leon  Steury,Non Partisan,DEKALB EASTERN,1943
,School Board Member,Leslie A Jacobs,Non Partisan,"Columbia 1, Jackson 1, Orange 1",661
,School Board Member,Leslie Ann Wesley,Non Partisan,SCHOOL DISTRICT 3,6064
,School Board Member,Lewis E Moke,Non Partisan,SOCS5,3149
,School Board Member,Lewis J Hall,Non Partisan,Howard,10477
,School Board Member,Liddia Sanglton,Non Partisan,Madison,3899
,School Board Member,Linda Aline Puccini,Non Partisan,RANDOLPH EAST,1535
,School Board Member,Linda L Hobbs,Non Partisan,Brown,2753
,School Board Member,Linda S Singer,Non Partisan,Western,4479
,School Board Member,LINDSEY SKAZA,Non Partisan,SOUTH VERMILLION,686
,School Board Member,Lisa A Cooper,Non Partisan,SOUTH PUTNAM COM SCH,2081
,School Board Member,Lisa A Kesling,Non Partisan,Pioneer SC,1909
,School Board Member,Lisa A Mcmillion-Miller,Non Partisan,Hammond,9666
,School Board Member,Lisa Ann Leroy,Non Partisan,EAST NOBLE,1748
,School Board Member,Lisa G. Schmitz,Non Partisan,Wayne Township Schools,3996
,School Board Member,Lisa M Thompson,Non Partisan,SOUTH HENRY SCHOOL,1549
,School Board Member,Lora Sanders,Non Partisan,1,725
,School Board Member,Lori E Savoy,Non Partisan,1,943
,School Board Member,Lori Gogel,Non Partisan,NORTH SPENCER COUNTY SCHOOL CORPORATION,4330
,School Board Member,Lori McLaughlin,Non Partisan,UNION TWS SC,2499
,School Board Member,Louise Jackson,Non Partisan,CARMEL-CLAY,9817
,School Board Member,LUCINDA (CINDY) MURPHY,Non Partisan,Hammond,8131
,School Board Member,Lynda G Glover,Non Partisan,Warrick,12255
,School Board Member,Lynn L Studebaker,Non Partisan,WHITKO COMMUNITY SCHOOL CORPORATION,2127
,School Board Member,Lynn T. Matchett,Non Partisan,Warren Township Schools,6465
,School Board Member,Lynn Wilson,Non Partisan,Clarksville Community School Corp,2104
,School Board Member,M E Beth Carr,Non Partisan,SOUTH HENRY SCHOOL,1812
,School Board Member,M Todd  Duke,Non Partisan,CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,0
,School Board Member,M. Todd Duke,Non Partisan,CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,2356
,School Board Member,Mara Catey-Williams,Non Partisan,Oak Hill United School Corporation,22
,School Board Member,Marc A Gumm,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,2098
,School Board Member,Marcus J Carlson,Non Partisan,"GARRETT,  KEYSER,  BUTLER",473
,School Board Member,Margaret (Meg) Gardinier,Non Partisan,MCS,637
,School Board Member,Margaret S Badger,Non Partisan,Southwest Schools,3399
,School Board Member,Maria L. Beattey,Non Partisan,Warren Township Schools,4167
,School Board Member,Maria Sanchez Schirch,Non Partisan,GCS 2,2312
,School Board Member,Marie E Gilliland,Non Partisan,LaPorte,4902
,School Board Member,Marilee Keim,Non Partisan,FAIRFIELD COMMUNITY SCHOOL,2498
,School Board Member,Marisa C Mcintosh,Non Partisan,Bloomfield School Corp,2208
,School Board Member,Mark  Thrush,Non Partisan,"GARRETT,  KEYSER,  BUTLER",1929
,School Board Member,Mark A Maes,Non Partisan,Culver Community School Corp,1825
,School Board Member,Mark A Shoemaker,Non Partisan,BENTON COMMUNITY SCHOOL CORPORATION,2276
,School Board Member,Mark A Shoffner,Non Partisan,Huntington,0
,School Board Member,Mark A. Day,Non Partisan,SALEM COMM SCHOOLS,2262
,School Board Member,Mark E Beard,Non Partisan,"Connersville 01, Connersville 02, Connersville 03, Connersville 04, Connersville 05, Connersville 06, Connersville 07, Connersville 08, Connersville 09, Connersville 10, Connersville 12, Connersville 13, Harrison 1, Harrison 2, Harrison 3, Harrison 4",3623
,School Board Member,Mark E Ridenour,Non Partisan,MSD SCHOOL DISTRICT,3523
,School Board Member,Mark L Cockroft,Non Partisan,MSD SCHOOL DISTRICT,2946
,School Board Member,Mark W Gilpin,Non Partisan,SOUTHWEST ALLEN,15689
,School Board Member,Marlene L Barnett,Non Partisan,Brown,1267
,School Board Member,Marsha  Lovejoy,Non Partisan,Monroe County Comm School Corp,14414
,School Board Member,Marsha L Piggott,Non Partisan,MACONAQUAH,1763
,School Board Member,Marty M Corley,Non Partisan,MICHIGAN CITY AREA SCHOOLS,12953
,School Board Member,Marvin Jones,Non Partisan,Lewis Cass Schools,892
,School Board Member,Mary E Eversole,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1705
,School Board Member,Mary F Howard-Hamilton,Non Partisan,Vigo,6730
,School Board Member,Mary Jo Brunt,Non Partisan,Madison-Grant United School Corportation,1923
,School Board Member,Mary L Prows,Non Partisan,"MA District 1, MA District 2, MA District 3",5911
,School Board Member,Mary Stockwell,Non Partisan,Eminence Community School Corp,917
,School Board Member,Matt Hankins,Non Partisan,MSD Martinsville,7667
,School Board Member,Matt Meagher,Non Partisan,Logansport SC,3205
,School Board Member,Matt S Deuel,Non Partisan,Warsaw 6,1533
,School Board Member,Matt Stolle,Non Partisan,HAMILTON SOUTHEASTERN,6083
,School Board Member,Matthew ( MATT ) BUNNER,Non Partisan,SOUTH SPENCER COUNTY SCHOOL CORPORATION,2519
,School Board Member,Matthew A Ackerman,Non Partisan,SOUTHERN HANCOCK,6470
,School Board Member,Matthew B Melcher,Non Partisan,Huntington,1311
,School Board Member,Matthew Bruner,Non Partisan,SCH H,1269
,School Board Member,Matthew Eckert,Non Partisan,SOUTHEAST SCHOOL DISTRICT,3067
,School Board Member,Matthew J Snyder,Non Partisan,DEKALB EASTERN,1760
,School Board Member,Matthew Jared Crawford,Non Partisan,BROWNSBURG COMM SCHOOLS,2449
,School Board Member,Matthew L Snyder,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,2617
,School Board Member,Matthew Saner,Non Partisan,Mooresville Consolidated School Corp District Madison,3313
,School Board Member,Matthew Smith,Non Partisan,Monroe County Comm School Corp,6616
,School Board Member,Matthew Thomas Freije,Non Partisan,BROWNSBURG COMM SCHOOLS,13685
,School Board Member,Matthew V Roberts,Non Partisan,Eastern Greene School District,1991
,School Board Member,MAX CASE,Non Partisan,SOUTHWEST PARKE COMM,1615
,School Board Member,Melisa Branscum,Non Partisan,MILL CREEK,2822
,School Board Member,Melissa A. Richey,Non Partisan,Wayne Township Schools,6449
,School Board Member,Melissa E Duncan,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,4460
,School Board Member,Melissa J Toth,Non Partisan,CHARLES A BEARD SCHOOL,2814
,School Board Member,Melissa Prochnau,Non Partisan,West Lafayette School Corporation,1461
,School Board Member,Mellissa Kay Johnson,Non Partisan,MISHAWAKA,3506
,School Board Member,Melvin L. Burks,Non Partisan,Vigo,10986
,School Board Member,Michael (Mike) Brown,Non Partisan,ADAMS CENTRAL,2128
,School Board Member,Michael (Mike) Wilson,Non Partisan,"Wawasee 1, Wawasee 2, Wawasee 3",6977
,School Board Member,Michael (Troy) Merrick,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,3958
,School Board Member,Michael A. Jamerson,Non Partisan,Bartholomew Consolidated,5894
,School Board Member,Michael D Edwards,Non Partisan,South Knox Schools,2093
,School Board Member,MICHAEL DEAN HOWE,Non Partisan,Prairie Heights,3022
,School Board Member,Michael E Godlove,Non Partisan,TWLK 4,1064
,School Board Member,Michael E McDivitt,Non Partisan,Oak Hill United School Corporation,2626
,School Board Member,Michael J Rogers,Non Partisan,Hobart,3080
,School Board Member,Michael P Johnson,Non Partisan,Jennings,3188
,School Board Member,Michael R Shaw,Non Partisan,Clay Community,2321
,School Board Member,MICHAEL RAY SHELTON,Non Partisan,SOUTH SPENCER COUNTY SCHOOL CORPORATION,1322
,School Board Member,Michael S Pazin,Non Partisan,Culver Community School Corp,1860
,School Board Member,Michael S Rusche,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,2881
,School Board Member,MICHAEL TURNER,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,3757
,School Board Member,Michael W Harris,Non Partisan,SOUTH SPENCER COUNTY SCHOOL CORPORATION,1405
,School Board Member,Michael W Murray,Non Partisan,Bluffton 1,766
,School Board Member,Micheal L Lord,Non Partisan,Knox,2823
,School Board Member,Michelle Asbury,Non Partisan,Mitchell Community Schools,1120
,School Board Member,MIKE ALLEN,Non Partisan,PLAINFIELD COMM SCHOOLS,7448
,School Board Member,Mike Baumer,Non Partisan,Batesville Community School Corporation,3777
,School Board Member,Mike Hanna,Non Partisan,"AD 001, AD 002, AD 003, AD 004, FC 001, FC 002, FC 003, FC 004, FC 005, FC 006, FC 007, FC 008, FC 009, FC 010, GR 001, GR 002, GR 003, GR 004",8670
,School Board Member,Mike Kuehn,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,264
,School Board Member,Mike McCord,Non Partisan,Logansport SC,5381
,School Board Member,Mike Russell,Non Partisan,NORTH NEWTON,1526
,School Board Member,Mike Wells,Non Partisan,BROWNSBURG COMM SCHOOLS,13910
,School Board Member,Mikeal W. Gordon,Non Partisan,Wayne Township Schools,6368
,School Board Member,Milton Clayton,Non Partisan,Greater Clark County Schools,10275
,School Board Member,Misty  Ronau,Non Partisan,Floyd,12027
,School Board Member,Misty Dawn Jacobs,Non Partisan,SOUTHWESTERN,1203
,School Board Member,Mollie A Trottier,Non Partisan,ROCHESTER SCHOOL CORPORATION,1520
,School Board Member,Monica  Wells,Non Partisan,ELWOOD COMMUNITY SCHOOL CORP,1396
,School Board Member,Monte J. Moffett,Non Partisan,DUNELAND,6546
,School Board Member,Morgan Perrill,Non Partisan,DANVILLE COMM SCHOOLS,1113
,School Board Member,Myra W Powell,Non Partisan,Borden-Henryville School,2129
,School Board Member,Mysia L Brown,Non Partisan,BLUE RIVER VALLEY SCHOOL,1344
,School Board Member,Nancy J Summers,Non Partisan,LOOGOOTEE,1829
,School Board Member,Nancy Redelman,Non Partisan,JAC-CEN-DEL,297
,School Board Member,Nannett C Polk,Non Partisan,NEW CASTLE COMM SCHOOL,7558
,School Board Member,Narci M Burress,Non Partisan,SOUTHWESTERN,1162
,School Board Member,Natalie J. Wargo,Non Partisan,PORTER TWS SC,4149
,School Board Member,Nathan A Alderson,Non Partisan,NORTH DAVIESS,1564
,School Board Member,Nathan C Schuler,Non Partisan,SOUTHEAST SCHOOL DISTRICT,3036
,School Board Member,Nathan Coe,Non Partisan,MONROE CENTRAL,1624
,School Board Member,Neil W Draper,Non Partisan,Bluffton 3,550
,School Board Member,Nicholas D Evans,Non Partisan,SOUTH HARRISON,6183
,School Board Member,Nicholas J Messer,Non Partisan,Decatur County,2481
,School Board Member,Nicholas P Allen,Non Partisan,MILL CREEK,2759
,School Board Member,Nichole Kelley,Non Partisan,Pike Township Schools,12430
,School Board Member,Nicole  Milburn,Non Partisan,Madison,2927
,School Board Member,Nicole  Stults,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,8296
,School Board Member,Nicole Davenport,Non Partisan,Whiting,1079
,School Board Member,Nicole Wheeldon,Non Partisan,Bartholomew Consolidated,14202
,School Board Member,NORMAN A BAILEY,Non Partisan,Gary,2700
,School Board Member,Norman R Santus,Non Partisan,Northeast Schools,1409
,School Board Member,Paige L. Miller,Non Partisan,CARMEL-CLAY,7830
,School Board Member,Pat Reyes,Non Partisan,NORTH NEWTON,2947
,School Board Member,Patricia H Rensberger,Non Partisan,Argos Community Schools,1118
,School Board Member,Patrick  Barker,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,807
,School Board Member,Patrick A Hickner,Non Partisan,"C1, C2, C3, C4, C5",1319
,School Board Member,Patrick J. Terry Sr.,Non Partisan,Pike Township Schools,5095
,School Board Member,PATRICK KRULL,Non Partisan,Highland,4901
,School Board Member,Patrick L Sullivan,Non Partisan,Jennings,7649
,School Board Member,Patrick M. Bryant,Non Partisan,Bartholomew Consolidated,12726
,School Board Member,Patrick R Pinkerton,Non Partisan,"EB District 1, EB District 2, EB District 3, EB District 4",2652
,School Board Member,Patrick Redman,Non Partisan,Mitchell Community Schools,2894
,School Board Member,Pattie Jo Gibson-King,Non Partisan,East Chicago,1659
,School Board Member,Paul B Kane,Non Partisan,ELWOOD COMMUNITY SCHOOL CORP,1125
,School Board Member,Paul Fought,Non Partisan,WEST NOBLE,2170
,School Board Member,Paul G Moss,Non Partisan,SOUTHWEST ALLEN,5252
,School Board Member,Paul G. Lockhart,Non Partisan,Vigo,13565
,School Board Member,Paul R Broughton,Non Partisan,Crawford County,2483
,School Board Member,Peggy Cronin,Non Partisan,FAIRFIELD COMMUNITY SCHOOL,1698
,School Board Member,Peggy K. Stephens,Non Partisan,WASHINGTON,2757
,School Board Member,Phil Edwards,Non Partisan,MT. VERNON,4629
,School Board Member,Phil Harsh,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,409
,School Board Member,Philip Abrams,Non Partisan,Pike Township Schools,7898
,School Board Member,Philip M Garwood,Non Partisan,"AC SCHOOL BOARD SEAT 1, AC SCHOOL BOARD SEAT 2, AC SCHOOL BOARD SEAT 3, AC SCHOOL BOARD SEAT 4, AC SCHOOL BOARD SEAT 5, AC SCHOOL BOARD SEAT 6",2086
,School Board Member,Philip N Eskew Jr.,Non Partisan,Monroe County Comm School Corp,12344
,School Board Member,Phillip J King,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,4517
,School Board Member,Rachel Cantrell,Non Partisan,TRI-COUNTY,1283
,School Board Member,Rachel J Overberg,Non Partisan,Silver Creek School,3590
,School Board Member,Rachel Mandeville,Non Partisan,NORTH PUTNAM COM SCH,2210
,School Board Member,Ramon (Ray) Villalobos Jr.,Non Partisan,BENTON COMMUNITY SCHOOL CORPORATION,3896
,School Board Member,Randall P Bolos,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,418
,School Board Member,Randall V Davis,Non Partisan,Mooresville Consolidated School Corp District Harrison,167
,School Board Member,Randel S McIntosh,Non Partisan,SOUTH RIPLEY,1374
,School Board Member,Randy Bouchie,Non Partisan,WASHINGTON,3378
,School Board Member,Randy Cunningham,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,4472
,School Board Member,Randy George,Non Partisan,Warren Township Schools,5173
,School Board Member,Randy W Polston,Non Partisan,Warsaw 4,2270
,School Board Member,Ray C. Oppel,Non Partisan,SALEM COMM SCHOOLS,2139
,School Board Member,Rebecca (Becky) Humphrey,Non Partisan,SALEM COMM SCHOOLS,1831
,School Board Member,Rebecca Gardenour,Non Partisan,Floyd,18459
,School Board Member,Rebecca Secord  ,Non Partisan,BROWNSBURG COMM SCHOOLS,6350
